# Lambda	Flux
1.5240615341229553	2718280.9930339074
1.524091257755217	2719808.3635430187
1.5241209813874785	2721502.403488496
1.5241507050197405	2723506.335835416
1.524180428652002	2725276.4257221287
1.524210152284264	2726487.861079869
1.5242398759165254	2727222.5893628667
1.5242695995487872	2728122.5052824803
1.5242993231810489	2729147.338436467
1.5243290468133106	2727568.087758241
1.5243587704455723	2719414.1647412837
1.524388494077834	2708545.9847576595
1.5244182177100956	2705100.4616569774
1.5244479413423575	2701165.3823647355
1.524477664974619	2686465.25262681
1.524507388606881	2658747.229149105
1.5245371122391425	2603493.64850092
1.5245668358714042	2568723.103422417
1.524596559503666	2618212.849668952
1.5246262831359276	2693591.959075926
1.5246560067681894	2731037.341529131
1.524685730400451	2738095.003808572
1.5247154540327126	2736694.4311961313
1.5247451776649745	2741173.2142531523
1.524774901297236	2749763.1610856354
1.524804624929498	2755471.9263418117
1.5248343485617595	2758348.466478763
1.5248640721940212	2759699.997496037
1.524893795826283	2758970.700677897
1.5249235194585447	2753073.689943068
1.5249532430908064	2736669.144131091
1.524982966723068	2716086.4923094087
1.5250126903553296	2715788.2945762845
1.5250424139875915	2737452.264884948
1.525072137619853	2754855.476242373
1.525101861252115	2758205.455692476
1.5251315848843765	2757727.7241265974
1.5251613085166382	2762517.259140023
1.5251910321489	2766404.296204491
1.5252207557811617	2763284.9585579624
1.5252504794134234	2761289.122294167
1.5252802030456851	2766797.9181672586
1.5253099266779466	2772912.111792833
1.5253396503102086	2775702.102974646
1.52536937394247	2777330.4917736035
1.525399097574732	2776784.549537325
1.5254288212069935	2773896.535829069
1.5254585448392552	2771591.40903139
1.525488268471517	2765963.3163592443
1.5255179921037787	2759276.5790408347
1.5255477157360404	2765337.4919184013
1.5255774393683021	2779888.353225278
1.5256071630005639	2789277.3763856194
1.5256368866328256	2793249.879893103
1.525666610265087	2795669.258163634
1.525696333897349	2793986.622246157
1.5257260575296105	2779042.7449556263
1.5257557811618725	2739528.0017021685
1.525785504794134	2693204.592040609
1.5258152284263957	2693433.214264292
