# Lambda	SNR
1.5241507050197405	1648.7742328888132
1.524180428652002	1649.3728247845252
1.524210152284264	1649.754571230764
1.5242398759165254	1649.978763271329
1.5242695995487872	1650.2515190585636
1.5242993231810489	1650.5619971281908
1.5243290468133106	1650.0835316495516
1.5243587704455723	1647.6109268110947
1.524388494077834	1644.3094669862107
1.5244182177100956	1643.2614254108994
1.5244479413423575	1642.0636549046671
1.524477664974619	1637.5814384785353
1.524507388606881	1629.0963877596596
1.5245371122391425	1612.0489004337971
1.5245668358714042	1601.2280414587683
1.524596559503666	1616.6078084241487
1.5246262831359276	1639.755973321226
1.5246560067681894	1651.1344308704574
1.524685730400451	1653.2702586492549
1.5247154540327126	1652.8466294942045
1.5247451776649745	1654.2009398331238
1.524774901297236	1656.7953006817809
1.524804624929498	1658.5172339715698
1.5248343485617595	1659.3842070452101
1.5248640721940212	1659.7913946251629
1.524893795826283	1659.571685618205
1.5249235194585447	1657.7940730743944
1.5249532430908064	1652.8389810891824
1.524982966723068	1646.600775749036
1.5250126903553296	1646.5102242131677
1.5250424139875915	1653.0758654669914
1.525072137619853	1658.3313817078788
1.525101861252115	1659.3411163873939
1.5251315848843765	1659.197158568368
1.5251613085166382	1660.639855863337
1.5251910321489	1661.809783275487
1.5252207557811617	1660.8709849803793
1.5252504794134234	1660.2700381129346
1.5252802030456851	1661.928210815239
1.5253099266779466	1663.766676013914
1.5253396503102086	1664.6049185525608
1.52536937394247	1665.0939669873
1.525399097574732	1664.9300222215134
1.5254288212069935	1664.062491306655
1.5254585448392552	1663.3697292234594
1.525488268471517	1661.6770992356546
1.5255179921037787	1659.663841572497
1.5255477157360404	1661.4887783762172
1.5255774393683021	1665.861871663942
1.5256071630005639	1668.677550943459
1.5256368866328256	1669.8674379542663
1.525666610265087	1670.5917009820412
1.525696333897349	1670.0880220224994
1.5257260575296105	1665.6080488187897
1.5257557811618725	1653.7035883806084
1.525785504794134	1639.6378576892278
1.5258152284263957	1639.7075734072155
1.5258449520586574	1654.338576654218
1.5258746756909192	1667.040354326594
1.525904399323181	1671.8855768942458
1.5259341229554426	1673.0332646656486
1.5259638465877041	1674.3919146969592
1.525993570219966	1676.28420539287
1.5260232938522276	1677.501523040601
1.5260530174844895	1678.229127825937
1.526082741116751	1678.7837632463418
1.5261124647490127	1678.362934930989
1.5261421883812745	1675.9200254580458
1.5261719120135362	1672.892036787288
1.526201635645798	1672.849121746507
1.5262313592780596	1675.6170640955563
1.5262610829103211	1678.4732722093436
1.526290806542583	1680.5112448587902
1.5263205301748446	1682.0151175767085
1.5263502538071065	1682.7829067431949
1.526379977439368	1682.1273636083242
1.5264097010716298	1678.2315034030723
1.5264394247038915	1670.1240006788248
1.5264691483361532	1664.403129530374
1.526498871968415	1668.5057261392255
1.5265285956006767	1676.9093226781695
1.5265583192329382	1682.296633094786
1.5265880428652001	1684.7235219250279
1.5266177664974616	1685.9454058369545
1.5266474901297236	1686.3246244912534
1.526677213761985	1684.6002258030005
1.5267069373942468	1676.596744666772
1.5267366610265085	1657.9222763406246
1.5267663846587702	1640.4739583373823
1.526796108291032	1646.3271306793029
1.5268258319232937	1667.5187973050956
1.5268555555555552	1682.4696987793113
1.5268852791878171	1688.392547384716
1.5269150028200786	1690.5136093939466
1.5269447264523406	1691.8124861806325
1.526974450084602	1692.9841632220512
1.5270041737168638	1693.8414596845348
1.5270338973491255	1694.334407669747
1.5270636209813873	1694.4893267627017
1.527093344613649	1694.5036346003508
1.5271230682459107	1694.7050982435492
1.5271527918781722	1695.1445014199298
1.5271825155104342	1695.7495068311928
1.5272122391426957	1696.0985583556487
1.5272419627749576	1695.798220992138
1.527271686407219	1694.610395864446
1.5273014100394808	1689.9498188480786
1.5273311336717426	1676.042016056562
1.5273608573040043	1655.9533227397308
1.527390580936266	1651.5274055545487
1.5274203045685277	1669.5237657850098
1.5274500282007895	1688.0040030035807
1.5274797518330512	1696.357579264501
1.5275094754653127	1699.2723059124255
1.5275391990975746	1700.3170828006544
1.5275689227298361	1700.6804800044692
1.527598646362098	1701.2929297471674
1.5276283699943596	1702.4308241302995
1.5276580936266213	1703.441214775476
1.527687817258883	1704.1177248283348
1.5277175408911448	1704.8500813127446
1.5277472645234065	1705.4788316144695
1.5277769881556682	1705.7471097181747
1.52780671178793	1706.0219098799603
1.5278364354201917	1706.552934339007
1.5278661590524532	1706.957394639778
1.527895882684715	1706.9680525258946
1.5279256063169766	1706.2426775408246
1.5279553299492383	1704.022671146936
1.5279850535815	1701.2657207157229
1.5280147772137618	1701.5831260570535
1.5280445008460235	1705.300739021044
1.5280742244782852	1708.7806059021875
1.528103948110547	1710.4100544873806
1.5281336717428087	1711.0915781393587
1.5281633953750702	1711.764594034581
1.5281931190073321	1712.3859451225976
1.5282228426395936	1712.7268275331205
1.5282525662718554	1712.8205653237867
1.528282289904117	1712.9777513245392
1.5283120135363788	1713.5754370123639
1.5283417371686405	1714.4274073748477
1.5283714608009022	1715.1723278862926
1.528401184433164	1715.7592247387554
1.5284309080654257	1716.1731488073922
1.5284606316976874	1716.424485927644
1.5284903553299491	1716.769288783132
1.5285200789622106	1717.185191395896
