# Lambda	ivar
0.9410821705426357	1.9698038463733236e-07
0.9411805340223945	2.1467705309459245e-07
0.9412788975021533	2.2968762519756085e-07
0.9413772609819121	2.1632836776877527e-07
0.941475624461671	1.9538790404131977e-07
0.9415739879414298	1.8667546866883048e-07
0.9416723514211887	1.83069464593085e-07
0.9417707149009475	1.8112567931703332e-07
0.9418690783807062	1.89126223347566e-07
0.9419674418604651	2.06867341916686e-07
0.942065805340224	2.0842524435746204e-07
0.9421641688199829	1.9144453941448006e-07
0.9422625322997416	1.8497739432176484e-07
0.9423608957795004	1.9214129650721933e-07
0.9424592592592593	1.9451807175153143e-07
0.942557622739018	1.840900321792917e-07
0.9426559862187769	1.7782635572980765e-07
0.9427543496985358	1.8872263424815607e-07
0.9428527131782947	2.294734956164354e-07
0.9429510766580533	2.9910550400709954e-07
0.9430494401378122	3.184095937750656e-07
0.9431478036175711	2.6620496287173003e-07
0.9432461670973298	2.2906862932930963e-07
0.9433445305770887	2.086177949562089e-07
0.9434428940568476	1.8578996020086207e-07
0.9435412575366064	1.7071882014361421e-07
0.9436396210163651	1.6574618800860474e-07
0.943737984496124	1.6616334424234582e-07
0.9438363479758829	1.7448369045890858e-07
0.9439347114556417	1.9910460973783938e-07
0.9440330749354006	2.2739560340950202e-07
0.9441314384151593	2.297334214431495e-07
0.9442298018949181	2.4493064621448497e-07
0.944328165374677	2.869141521172512e-07
0.9444265288544359	2.7880074086036744e-07
0.9445248923341948	2.4206482676405603e-07
0.9446232558139535	2.1640442886198194e-07
0.9447216192937123	1.9584386998107365e-07
0.9448199827734712	1.8401200394447742e-07
0.9449183462532299	1.746593797545243e-07
0.9450167097329888	1.6714048688974746e-07
0.9451150732127477	1.6831290139311494e-07
0.9452134366925066	1.7354049154344714e-07
0.9453118001722652	1.7194296131242965e-07
0.9454101636520241	1.659122382535403e-07
0.945508527131783	1.6883263142254252e-07
0.9456068906115417	1.8853083455194572e-07
0.9457052540913006	2.1507331239090354e-07
0.9458036175710595	2.2296247653213833e-07
0.9459019810508181	2.0621793422302417e-07
0.946000344530577	1.829233016946601e-07
0.9460987080103359	1.8052356419943535e-07
0.9461970714900948	2.1128187660916839e-07
0.9462954349698536	2.523941298488798e-07
0.9463937984496124	2.3590919943356007e-07
0.9464921619293712	1.8926944325964767e-07
0.94659052540913	1.660537525060972e-07
0.9466888888888889	1.6369906722635038e-07
0.9467872523686478	1.6618646631533856e-07
0.9468856158484066	1.6570771290132837e-07
0.9469839793281654	1.7011519351630557e-07
0.9470823428079242	1.8451900810852346e-07
0.9471807062876831	1.9355990599444555e-07
0.9472790697674418	1.8008468751311188e-07
0.9473774332472007	1.6183155936200788e-07
0.9474757967269596	1.5493051298753197e-07
0.9475741602067183	1.6139900759501177e-07
0.9476725236864771	1.7709714575267465e-07
0.947770887166236	1.8378016998374078e-07
0.9478692506459949	1.7204711713142355e-07
0.9479676141257536	1.5852931671116228e-07
0.9480659776055125	1.5591122875151741e-07
0.9481643410852714	1.7205181600485668e-07
0.94826270456503	2.1210082612656028e-07
0.9483610680447889	2.5329199060740217e-07
0.9484594315245478	2.365965420391805e-07
0.9485577950043067	1.8631769082497526e-07
0.9486561584840654	1.582724237398421e-07
0.9487545219638243	1.5186100188947903e-07
0.9488528854435831	1.534063203403122e-07
0.9489512489233419	1.533357479943418e-07
0.9490496124031008	1.4923008865857203e-07
0.9491479758828596	1.4495963578109008e-07
0.9492463393626184	1.4355895723366664e-07
0.9493447028423773	1.4516915333878914e-07
0.9494430663221362	1.5419174169782663e-07
0.949541429801895	1.806430915226992e-07
0.9496397932816537	2.147943397073818e-07
0.9497381567614126	2.0472693440225823e-07
0.9498365202411715	1.7701706904112106e-07
