# Lambda	ivar
1.526677213761985	3.5118876153231544e-07
1.5267069373942468	3.5453824668989736e-07
1.5267366610265085	3.625422010289975e-07
1.5267663846587702	3.7026780536161623e-07
1.526796108291032	3.6764892444272697e-07
1.5268258319232937	3.583956529732947e-07
1.5268555555555552	3.52075727718186e-07
1.5268852791878171	3.49618167472998e-07
1.5269150028200786	3.487443384098191e-07
1.5269447264523406	3.4821084938099884e-07
1.526974450084602	3.4773064233385576e-07
1.5270041737168638	3.4737990002076976e-07
1.5270338973491255	3.4717846135847556e-07
1.5270636209813873	3.4711520306450316e-07
1.527093344613649	3.4710937330842994e-07
1.5271230682459107	3.470271300195029e-07
1.5271527918781722	3.4684784443424666e-07
1.5271825155104342	3.4660121570965416e-07
1.5272122391426957	3.464590453857561e-07
1.5272419627749576	3.46581369178671e-07
1.527271686407219	3.470657903167755e-07
1.5273014100394808	3.489763082882307e-07
1.5273311336717426	3.5477217685417756e-07
1.5273608573040043	3.634018481708892e-07
1.527390580936266	3.65345385466785e-07
1.5274203045685277	3.5753831687815203e-07
1.5274500282007895	3.49778624734634e-07
1.5274797518330512	3.463536011490686e-07
1.5275094754653127	3.4517036203054057e-07
1.5275391990975746	3.44747707355073e-07
1.5275689227298361	3.4460088024795324e-07
1.527598646362098	3.4435363749758135e-07
1.5276283699943596	3.438949804812285e-07
1.5276580936266213	3.434884838822654e-07
1.527687817258883	3.432167151855909e-07
1.5277175408911448	3.4292287477713415e-07
1.5277472645234065	3.426709044899381e-07
1.5277769881556682	3.425634771316212e-07
1.52780671178793	3.4245349043347494e-07
1.5278364354201917	3.422411016350937e-07
1.5278661590524532	3.420794658650108e-07
1.527895882684715	3.42075207910209e-07
1.5279256063169766	3.423651669201909e-07
1.5279553299492383	3.432548789531014e-07
1.5279850535815	3.4436461441781494e-07
1.5280147772137618	3.442365780424684e-07
1.5280445008460235	3.427422446901947e-07
1.5280742244782852	3.413522669159719e-07
1.528103948110547	3.4070431193875057e-07
1.5281336717428087	3.404338485142874e-07
1.5281633953750702	3.4016707634378996e-07
1.5281931190073321	3.3992105850272826e-07
1.5282228426395936	3.397861912770505e-07
1.5282525662718554	3.397491007611395e-07
1.528282289904117	3.3968695200071394e-07
1.5283120135363788	3.394508231335779e-07
1.5283417371686405	3.3911464438899187e-07
1.5283714608009022	3.3882110552131e-07
1.528401184433164	3.385901017848717e-07
1.5284309080654257	3.384273210305262e-07
1.5284606316976874	3.383285300871135e-07
1.5284903553299491	3.381930618149754e-07
1.5285200789622106	3.380297767671466e-07
1.5285498025944724	3.3790232529857514e-07
1.528579526226734	3.378316457260519e-07
1.5286092498589958	3.3787795302022423e-07
1.5286389734912575	3.381243427331327e-07
1.5286686971235193	3.392810431772379e-07
1.528698420755781	3.4345143269707294e-07
1.5287281443880427	3.5073271675477626e-07
1.5287578680203044	3.5358142865653255e-07
1.5287875916525662	3.476661006275619e-07
1.5288173152848277	3.4069143023786434e-07
1.5288470389170894	3.3732900761660765e-07
1.5288767625493511	3.3616151783317825e-07
1.5289064861816128	3.3568353966104063e-07
1.5289362098138746	3.354364210251607e-07
1.5289659334461363	3.3529020047020865e-07
1.528995657078398	3.3509671228977004e-07
1.5290253807106597	3.3480162822892784e-07
1.5290551043429215	3.345187964022113e-07
1.5290848279751832	3.3432468787303056e-07
1.529114551607445	3.3423092574287555e-07
1.5291442752397064	3.3425765572280423e-07
1.5291739988719681	3.344309177550205e-07
1.5292037225042299	3.346600609028287e-07
1.5292334461364916	3.3457080481082013e-07
1.5292631697687533	3.340710637435031e-07
1.529292893401015	3.336104454680922e-07
1.5293226170332768	3.334045848553312e-07
1.5293523406655385	3.3321128608668886e-07
1.5293820642978002	3.3288778348646057e-07
1.529411787930062	3.325881564620036e-07
1.5294415115623237	3.323936746918241e-07
1.5294712351945854	3.3237738051254656e-07
1.529500958826847	3.326448130165776e-07
1.5295306824591086	3.3316647799126915e-07
1.5295604060913703	3.341520843566046e-07
1.529590129723632	3.35901683112365e-07
1.5296198533558938	3.372043121030985e-07
1.5296495769881555	3.365093698992655e-07
1.5296793006204172	3.3483739686715594e-07
1.529709024252679	3.342801048115624e-07
1.5297387478849407	3.3538349727282323e-07
1.5297684715172024	3.3598429072928866e-07
1.529798195149464	3.343387820150904e-07
